Descriptor,Aliases,DUNS
Summit Therapeutics Inc.,DanioLabs Ltd|Discuva Ltd.|Vastox PLC|Summit Corporation PLC|Discuva Limited|Value Added Screening Technologies Oxford|Summit Therapeutics PLC,739447766
Sumy Machine Building Frunze,"ОАО ""Сумское машиностроительное научно-производственное объединение имени М.В.Фрунзе""|ОАО ""Сумское НПО им. Фрунзе""|Sums’ke mashynobudivne naukovo-vyrobnyche ob’’iednannia im. M. V. Frunze VAT|НПО им. Фрунзе|Сумское машиностроительное НПО им. Фрунзе|Открытое акционерное общество ""НПО им. Фрунзе""|Frunze Machine Building Sumy|Sumy Frunze Machine Building Plant PJSC|Научно- производственное объединение им. Фрунзе (Сумы)|Сумское НПО им. Фрунзе|ОАО ""Сумское машиностроительное НПО им. Фрунзе""|Sumy NVO Frunze|ОАО ""Сумское НПО им.М.В.Фрунзе""",364748330
Sun Energy Inc,,131147464
"SunCoke Energy, Inc","SunCoke Energy, Inc|SunCoke Energy Inc.",617339031
SunEdison Semiconductor Inc.,SunEdison Semiconductor Ltd.,079132725
SunStar International Inc,,026070776
Sunblest Bakeries Limited,,
Suncoast Trading,,293324216
"Sundy Land Investment Co., Ltd.","國能集團|国能集团|遼寧百科集團( 控股 )股份有限公司|Liaoning Guoneng Group Joint-stock Co Ltd|宋都基業投資股份有限公司|Sundy Land Investment Co., Ltd.|Liaoning Guoneng Group Holding Co Ltd|Tieling Jinggong (Group) Co.|遼寧國能集團|百科集團|Liaoning Baike Group (Holding) Co Ltd|国能集団|辽宁百科集团( 控股 )股份有限公司|Tieling Jinggong Group Co.|Liaoning Guoneng Group (Holding) Co Ltd|辽宁国能集团|宋都基业投资股份有限公司|遼寧国能集団（控股）股フェン有限公司|百科集团",420720849
Sunita Foundry Private Limited,,
Sunningdale Tech Ltd,科技集团亚洲有限公司|科技集团亚洲|Sunningdale Precision Industries Ltd|Sunningdale Plastic Industries Pte Ltd|向阳科技有限公司|向陽科技有限公司|科技集團亞洲有限公司|向阳科技|向陽科技|OMNI MOLD|科技集團亞洲|向陽精密工业有限公司|Adval Tech Thailand Co Ltd|OMNI MOLD LTD|Tech Group Asia Ltd,595557687
Sunridge Gold Corp,Trinity Control Ltd|Ritz Resources,254066434
Sunrise Medical Inc,,
Sunset Capital Assets Inc.,"Sunset Brands Inc.|Walter Williams, Inc|Investment Capital Fund Group|Sunset Capital Assets|Vineyard Investment Properties, Inc|US Mills Inc|HAF Investment Holdings, LLC|Cascade Sled Dog Adventures Inc|Green Bear Solutions, LLC|IVEST, LLC",016189594
Sunstone Properties Limited,,733695667
Suomen Teollisuussijoitus Oy,Finnish Industry Investment Ltd,540679362
Super Tool Co Ltd,株式会社スーパーツール|スパツール|スーパーツール,690631544
Superior Bancorp,"People's Community Bancshares, Inc., of Sarasota, Florida|Superior Bank|1st Kensington Bank|Banc Corp. (The)|First Kensington Bank|Kensington Bankshares Incorporated|The Banc Corporation|People's Community Bancshares Inc|Superior Bancorp|Community Bancshares Inc.|The Banc Corp.",043695902
Superior Electrical Mechanical & Plumbing Inc.,,
Superior Industrial Enterprises Limited,Superior Vanaspati Limited|Superior Industrial Enterprises,862208019
Superior Industries LLC,"Parcan Group|Westmor Industries, LLC|Determan Brownie Inc.",057098501
Superior Mining International Corp,Eurogold Resources Inc|Superior Pipeline Corp.|Superior Mining Corp,250976701
Supra Trends Ltd.,,
Surangel And Sons Co.,,
SureWest Communications,ROSEVILLE TELEPHONE|Everest Broadband Inc.|SureWest Telephone Company|Roseville Communications Co.,015261936
Surety Holdings Corp,,867834004
SurfStitch Group Ltd,Surfstitch Pty Limited|Swell.com,757900659
Sushil Packagings (India) Ltd,Sushil Packagings India Ltd|SUSHIL PACKAGINGS INDIA LIMITED,917759313
Sutherland Craig Partnership,,225985894
Suzhou Xinrui Trading Co. Ltd.,,
Suzhou Youni Kejie Cross-Border E - Commerce Development Co. Ltd.,,
Suzhou Younike Fastener Co. Ltd.,,
Svad Dondi Spa,,
Swagelok Co. Inc.,Crawford Fittings Co.|Kenmac Ltd|Innovative Pressure Technologies LLC|RHPS B.V.,004185906
Swan Group Plc,MID KENT HLDG|MID KENT WATER|Mid Kent Holdings PLC|MID KENT HLDG PLC|MID KENT HLDG UK,235902301
Swedbank AB,FOERENINGSBANKEN|SPARBANKGRUPPEN|SWEDBANK SPARBANKEN SVERIGE AB PUBL 0163|AB SPINTAB|АКБ ТАС-Комерцбанк|ARTINOVA|Kyiv Privat Bank|ТАС Комерцбанк|SPARBANKEN SVERIGE|ZAO OKO Capital Vostok|Swedbank Mort AB|Swedbank Invest|Swedbank PJSC|FORENINGS SPARBANKEN SWEDBANK|Сведбанк|Spintab SwedMortgage AB|سويد بنك|Allhus AB|TAS-Kommerzbank JSCB|Swedbank Norge|AS Swedbank|Foerenings Banken|Swedbank Babs|Zamsos AB|TAS-Investbank CJSC|OAO Swedbank|FoereningsSparbanken AB|Swedbank Group|Swedbank Mortgage AB|ЗАО ТАС-Инвестбанк|Swedbank Hypotek AB|سويدبنك|Alita Group|FR&R Invest|Hansabank OAO|PayEx|TAS Kommerzbank JSCB|Soderhamns Sparbank|АО Сведбанк|FORENINGSSPARBANKEN SWEDBANK|Spintab AB|ALLHUS|FOERENINGS SPARBANKEN AB|First Securities|HSB Bank|ТАС-Комерцбанк|JSCB TAS Kommerzbank|CJSC TAS Investbank|Sparbanken Oresund AB|SPARBANKEN SWEDBANK|Swedbank AS|ROBUR KAPITALFORVALTNING|Swedbank AB|Swedbank Lithuania|SWEDBANK SWEDEN|SwedMortgage|TAS Investbank CJSC|Swedbank P&C Insurance AS|Forenings Sparbanken AB|SPARBANKEN SVERIGE SWEDBANK,353250673
Swindon Football Holdings Limited,Swindon Football Club|Swindon Town Football Club|SWINDON TOWN FC,225507219
Swipeclock Llc,,
Switzerland Of Ohio Local School District,,
Symbio Holdings Ltd.,Telcoinabox|MNF Group Ltd.|My Net Fone|Conference Call International Pty Ltd|iBoss International|Telco In A Box|My Net Fone Ltd.,754537012
Symbiote Inc,,147555619
Symphony Communication Services LLC,StreetLinx Inc,079593602
Synaptics Inc,"Renesas SP Drivers, Inc.|SYNAPTICS INC|新思國際科技有限公司|新思國際|新思科技|シナプティクス|新思国际|Renesas SP Drivers|Validity Sensors Inc.|Pacinian Corp.|NSM Technology|DisplayLink Corp.|新思国际科技有限公司",155105794
Synaptive Medical Inc,ClearCanvas Inc.,203061833
"Syndax Pharmaceuticals, Inc.",,944546089
Syndicate Room Ltd,,217354312
Synesis Finanziaria SpA,,
Synodon Inc.,realSens|real Sens,205520328
Synosia Therapeutics Holding AG,Synosis Therapeutics,793511408
Synthesis Energy Systems Inc,"Synthesis Energy Systems, Inc|Tamborine Holdings Inc",785822466
Sypris Electronics LLC,,
System Integrators Deutschland Gmbh,,318654118
System1 Group PLC,How Stuff Works Inc.|HowStuffWorks Inc.|BrainJuicer Group PLC,779713358
T String Pardubice AS,,366938991
T3EX Global Holdings Corp,T.H.I. Group|台驊國際投資控股股份有限公司|台驊投控|T3EX Global Holdings Corp|台骅国际投资控股股份有限公司|台骅控股|台骅国际股份有限公司|台驊控股|台骅投控|台驊國際股份有限公司|THI Group Ltd,656119864
TACHACA HOLDING (FRIBOURG),,486695166
TANSHIRE EQUIPMENT,,289836918
TBA Global LLC,NASHVILLE COUNTRY CLUB INC|TBA Entertainment Corp.,828999946
TDI Real Estate Holdings LLC,,060771100
TEKSCAN,,986074664
TELECOM PRODUCTS,,231956439
TELEVISION CONTROL SYSTEMS,,236597126
TELEVISION PROPERTY PRODUCTIONS,,387854367
TEMPLE INTERNATIONAL,,458679156
TENEF OOO,,
TESTWOOD VINTNERS,,217172014
TF Telefracht,,483257465
TGA d.d. Stolac,,672734451
THAI HOLDINGS,,503367203
THAMES VALLEY VENTURES,,289535486
THANE INVESTMENTS,,760584313
THE DUBOIS PLC,,210088464
THE GREAT BRITISH T SHIRT COMPANY LTD,,227702743
THE METTOY COMPANY PLC,,216383661
THE OLD BRAMBLEY HOUSE BAKERY CO,,298644469
THE PERFECT FOOD COMPANY,,570448324
THE PUBLICITY GROUP,,238227821
THE SHORTLIST,,239661650
THINQ Learning Solutions Inc,TrainingNet Inc|THINQ Technologies Inc|The Graduate Group|Learning Solutions Alliance|First Seminar Services Inc,144716649
THOMAS SALTER,,210374034
THURFJELLGRUPPEN,,354140287
TIC Holdings Inc,Ganotec West ULC|Western Summit Constructors Inc|TIC Canada ULC|TIC Holdings Inc,151784485
TIKI DATA,,515058642
TILAVIA COMPANY,,985086933
TKF VladOptTorg OOO,,
"TMP Worldwide Advertising & Communications, LLC",Maximum|Carve|Perengo|TMP环球|TMP環球|TMP Worldwide Incorporated|People in Business Limited|CKR Interactive|ＴＭＰワールドワイド,785329884
TMST Inc,THORNBURG MORTGAGE INCORPORATED|Thornburg Mortgage Asset Corp.,808004170
TNFG Corporation,"LostView Development Corp|RushGroup Technologies Inc|Rushmore Financial Group Inc|Terra Nova Financial Group Inc.|Terra Nova Trading, LLC|Rush Financial Technologies Incorporated|Rush Financial Technologies Inc|RushTrade Securities Inc",798299285
TOEI SEISAKUSHO,株式会社東栄製作所|東栄製作所,702452319
TOHTO KASEI CO LTD,KUK DO CHEMICAL INDUSTRY|DAITO KASEI|東都化成株式会社|TOHTO KASEI|東都化成|TOHTO KASEI CO LTD TOKYO,690856679
TORGAKTIV OOO,,
TOS Jasova as,,
TOUSA Inc,Technical Olympic Inc|テクニカル・オリンピックＵＳＡ|Tousa Homes Inc|Engle Homes Inc|Engle Holdings Corp|Newmark Homes Corp|Tousa|Technical Olympic USA Inc,118484500
TRANSPEC,,753039460
TRASSA-SK AO,,
TRIACON Private Equity GmbH,Devil AG,312680298
TRIO,,354881481
TROJAN SYSTEMS,,228440202
TROLLEY SERVICES,,396881369
TRONIKS OOO,,
TRX Real Estate Fundo de Investimento Imobiliario,,
TSB Bank Ltd,,590215364
TSE 100 Index Participation Fund,TSE 100 INDEX PARTICIPATION FUND,255298366
TSG Consumer Partners LLC,"Pathway Vet Alliance LLC|Sexy Hair Concepts LLC|American Technologies Inc .|Duckhorn Wine Co.|LuckyVitamin|Backcountry.com Inc|Rough Country|CorePower Yoga, LLC|Backcountry.com LLC|Anchor Fitness LLC",798817669
TT Boughton & Sons Ltd,Trio Skips & Hooks|Reynolds Boughton Limited,216003079
TTC Techkom Centrum AS,Techkom Centrum AS,360577795
TV Choice Productions,,739035405
Taddale Investments PLC,Arrow Construction Equipment|TADDALE INVESTMENTS PLC,227050796
Taiflex Scientific Company Limited,臺虹科技股份有限公司|台虹科技股份有限公司,657488214
Taihan Precision Technology Co Ltd.,Taihan Precision Technology|台翰精密科技,657197554
Taiji Computer Corporation Limited,太极计算机股份有限公司|太極計算機股份有限公司|Taiji Computer Corporation Limited,654280148
Taiwan Wax Company Limited,"台湾蜡品|台灣蠟品公司|臺灣蠟品|台灣蠟品|台蠟|台湾蜡品公司|台蜡|Taiwan Wax Co., Ltd.|台灣蠟品股份有限公司|台湾蜡品股份有限公司",656401049
Taiyo Ltd,株式会社タイヨー|タイヨー|株式会社ＴＡＩＹＯ|Taiyo Ltd|ＴＡＩＹＯ,691636377
Taizhou Jiajun Investment Co. Ltd.,,
Takamisawa Cybernetics Co Ltd,高見サイ|株式会社高見沢サイバネティックス|高見沢サイバネティックス|TAKAMISAWA CYBERNET,690676606
Taki Chemical Company Limited,多木化学株式会社|Taki Chemical Company Limited|Taki Chem|多木化学,690573761
Takisawa Machine Tool Co Ltd,滝沢鉄工所|TAKISAWA MACHINE TOOL CO|滝澤鉄工所|株式会社滝沢鉄工所|瀧澤鐵工所,690539705
Talbot Marketing Inc,,
Talley's Group Limited,Talley's Fisheries Ltd|Talley's Frozen Foods Ltd|Talley's Group Ltd|Talleys Group Limited,590127874
Talon Energy Ltd.,Talon Petroleum Ltd.|EnCounter Oil Limited,745934484
Tamda Limited,Mayanot Eden Ltd.|Mayanot Tamda Ltd.|Tamda Ltd.|مايانوت إيدين المحدودة,600162820
Tangshan Shengshi Jinyuan Industrial Co. Ltd.,,
Tanigawakensetsu Co. Ltd.,,
Taobao.com,Taobao|浙江淘宝网络有限公司|淘寶網|淘宝网|浙江淘寶網絡有限公司,545368933
Tapaco PCL,C4 Global Company|Tapaco PCL,660734179
Tapioca Development Corporation Limited,,
Tapistron International Inc,TAPISTRON INTL,156945941
"Taronis Fuels, Inc.",Taronis Fuels Inc.,117167835
Tarpon Towers LLC,,962471665
Tashluz Investments & Holdings,,600117287
Tata Motors Insurance Broking And Advisory Services Limited,,
Taurus International Manufacturing Inc,Heritage Manufacturing Inc,067517391
Tawakkal Garments Industrial Ltd,,645358409
Tawasol Group Holding,,362659793
Taylor Oil Co Inc,"Taylor Oil Co., Inc.",011740370
Td Ekoprom Ooo,,
Technical Products Group Inc,MARION COMPOSITES,787357664
Techniche Ltd,Panaseer Ltd,759285885
Teel Plastics Inc,,006113419
Teen Education,,003482929
"Tego Science, Inc.",테고사이언스 주식회사,688746395
Teikoku Consultant K.K.,,
Tekhprominvest OOO,,
Tektron Micro Electronics Inc,,101924066
TelDaFax Holding AG,TelDaFax TELECOM GmbH|TelDaFax FINANCE GmbH|TelDaFax-Gruppe|TelDaFax Gruppe|Median Telecom GmbH|TelDaFax Gas GmbH|TELDAFAX AG|TelDaFax Marketing GmbH|TelDaFax GmbH|TelDaFax ENERGY GmbH,313713661
Teleco Inc,Tech Works US LLC,045801511
Telecom USA Inc,TELECOM USA|Teleconnect Co|SouthernNet Inc,927555086
Teledifusao de Macau,Teledifusão de Macau,854970985
Teledyne Isco Inc,"Suprex Corp|Teledyne Isco, Inc.",007274194
Telefilm Canada,TELEFILM CANADA|Canadian Film Development Corporation|CFDC|Téléfilm Canada,209641604
Tellus Industries Inc,,608066296
Telnic Ltd,,235571234
Tempest Telecom Solutions LLC,,604112305
Tengzhou Beixin Xiangjun Daily-Use Groceries Business Department,,
Tennessee Commerce Bancorp Inc,Tennessee Commerce Bank,557559056
Terasys Inc,,135430341
Terminal Applications Group Inc,,072702442
"Terra Universal, Inc.",Terra Universal Inc.,031428527
Terrawest Industries Inc,TERRAWEST INDUSTRIES,252158845
Terres d'Aventure,,262485246
Tesco Personal Finance Compare Limited,,219852006
Tessin Nordic Ab,,352595871
Tetra Pak International S.A.,BIG DRUM Engineering GmbH|日本テトラパック|Tetra Pak AB|テトラパック|Miteco AG|Johnson Industries International|Macro Automation Ltd.|Gaussian,481629301
Texas Eastern Transmission LP,"Texas Eastern Transmission, LP|Texas Eastern Transmission Corporation",007932908
Texmo Pipes and Products Limited,Texmo Pipes and Products Limited,915624435
Texstar Holdings Inc.,Southern Cross Resources Group Inc.,012667233
Textil Warbel S.A.,,970584157
Tfs Trial Form Support Ab,,
Thai Life Insurance Co. Ltd.,"Thai Life Insurance Co., Ltd.|タイ・ライフ・インシュアランス|THAI LIFE INSURANCE|タイ・ライフ・インシュランス",660435876
Tharaldson Companies,Tharaldson Enterprises Inc|Tharaldson Communications Inc|Tharaldson Property Management Inc|Tharaldson Development Company Inc,106703960
"That Marketing Solution, Inc.",Vista Holding Group Corp.,837309496
The Apache Software Foundation,Apache Software Foundation,112387084
The Art of Living Foundation,Art of Living (AOL) Foundation|International Art of Living Foundation|Art of Living Foundation|AOL|foundation of The Art of Living,075254874
The Asher Agency,,074303496
"The Beanstalk Group, Inc.",,004617093
The Boiler Inspection and Insurance Company of Canada,The Boiler Inspection and Insurance Company of Canada|The Boiler Inspection & Insurance Co. of Canada|Boiler Inspection & Insurance Co. of Canada|Boiler Inspection and Insurance Company of Canada,207711813
The Boyds Collection Ltd,BOYDS COLLECTION LTD|Forest Glade International Inc.,024754822
The Brodia Group,,092221014
The Building Societies Association,UK's Building Societies Association|Building Societies Association|bsa,364813571
The Canadian Academy of Recording Arts and Sciences,Canadian Academy of Recording Arts and Sciences|CARAS,247361157
The Chap Group Ltd,Chap Group Ltd|Chap Construction|CHAP Homes|CHAP Quarries,215816216
The Client Construction Co Ltd,Client Construction Co Ltd,219265881
The Coimbatore District Central Cooperative Bank Limited,,
The Dream Telecom Co. Ltd.,,
The Durgapur Projects Ltd.,Durgapur Projects Limited|Durgapur Projects Ltd.,862166241
The Edging Company Limited,,217834208
The Edrington Group Limited,,
The Fairhursts Design Group Ltd.,Fairhursts Design Group Limited|Fairhursts Architects Ltd,771216074
The Fashion Society,,
The G.W. Van Keppel Company,,
The George Washington University Hospital,,
The HOYTS Corporation Pty. Ltd.,"Hoyts Cinema Technology Group|HOYTS THEATRES|Hoyts Group|Hoyts Group Holdings LLC|Val Morgan Outdoor|Active Media Group Pty Ltd|The Hoyts Group|The HOYTS Corporation Pty., Ltd.|HOYTS ENTERTAINMENT LTD",750428922
The Harlem School of the Arts,Harlem School of the Arts,020388088
The Hirtle Callaghan Value Equity Fund,,
The Holland Inc,Burgerville,027564012
The Irish News Ltd,Irish News,229331434
The Ishikawa Bank Ltd,石川銀|石川銀行,694155875
The Jed Foundation,Jed Foundation,602571254
The Library of Virginia,Library of Virginia|Virginia State Library|Virginia's State Library,043334095
The Litchfield Group of Companies,litchfield group|LITCHFIELD GROUP OF COS,397165754
The Meow Mix Company,,013273581
The Milford Bank,Milford Bank,019753359
The NTI Group Inc,The NTI Group Inc.|NTI Group,127608979
The Newhall Land & Farming Co,NEWHALL LAND AND FARMING CO.|NEWHALL LAND & FARMING|NEWHALL LAND & FARMING CO|THE NEWHALL LAND & FARMING CO|NEWHALL LAND|NEWHALL LD & FARMING CO,118579622
The North Borneo Corporation Bhd,NORTH BORNEO TIMBERS BHD|NORTH BORNEO CORP|北婆机构|北婆機溝|THE NORTH BORNEO TIMBERS BHD|NORTH BORNEO TIMBERS BHD THE|NORTH BORNEO TIMBER|NORTH BORNEO CORP BHD THE,652012790
The Oriental Hotel PCL,Oriental Hotel Thailand PCL|ORIENTAL HOTEL THAILAND,659706345
The Quaker Oats Company,"QUAKER OATS SPORTS MARKETING|QUAKER OATS CO|QUAKER OATS SCANDINAVIA|QUAKER OATS CANADA|QUAKER OATS UK|QUAKER OATS CORP|Near East Food Products|GOLDEN GRAIN MACARONI|QUAKER OATS GATORADE CO|THE GATORADE CO|QUAKER BAGGED CEREALS|THE QUAKER OATS CO|Anderson, Clayton and Company|QUAKER OATS|QUAKER RICE CAKES",001316439
The Radio Network,The Radio Network (TRN)|TRN|Radio New Zealand,593953409
The Ranch At Dove Tree Llc,,
The Rockefeller University,Universidad de Rockefeller|Universidad Rockefeller|Rockefeller's University,071037113
The Sangli Bank Limited,,650656390
The Scout Association,Scout Association,225049816
The Sheridan Group Inc,Euradius BV,609384169
The Store Corporation Bhd,STORE CORP BHD THE|环球集团|Milimewa Superstore Sdn. Bhd|環球集團,652174145
The Stratech Group Ltd,策技系統|策技系统|The Stratech Group Ltd|Stratech Group Ltd|Stratech Systems Ltd,595941006
The Vinters' Company,VINTNERS INTL,211642317
The Washington Companies,"Morrison Knudson|Montana Rail Link, Inc.|Dominion Diamond Corp.|Washington Companies|Seaspan International Ltd",006473953
The Wlb Group Inc,,
"The Yankee Candle Company, Inc",ヤンキー・キャンドル|Yankee Candle Investments LLC|Illuminations.Com Inc|THE YANKEE CANDLE CO INC|Yankee Candle Co.,066983586
The Yellow Cab Company,Yellow Cab Company|Yellow Cabs|Yellow Cab Co,804688757
Theladders.Com Inc.,,
Theralase Technologies Inc,INTERSTAR MINING|InterStar Group Inc|InterStar Mining Group Inc.,248889172
Therapeutic Solutions International Inc.,Friendly Auto Dealers Inc.|Splint Decisions Inc.,829450464
Thermo Fluids Inc.,,110992547
Thingworld Com LLC,"THINGWORLD COM (NEWTON,MA)",949486781
Thordon Bearings Inc,,248763336
ThreatMetrix Inc,TrustDefender,019519690
Thruvision Group PLC,,
Thu Duc Electro-Mechanical Joint Stock Company,Thu Duc Electro-Mechanical Co.|Thu Duc Electro Mechanical Joint Stock Company|Thu Duc Electro-Mechanical JSC|Thu Duc Electro Mechanical JSC|Thu Duc Electro-Mechanical Joint Stock Company,555289909
Thuan Phuoc Seafoods and Trading Corporation,Thuan Phuoc Seafoods and Trading Corporation,555278601
Thurella AG,Thurella Genossenschaft|Wolf Getraenke Taegerwilen|Thurella Getränke Express|Thurella Getränke AG|Wolf Getränke Tägerwilen|Thurella Getraenke,480136639
Thuzio Inc.,Robin,078536116
ThyssenKrupp Steel Europe AG,,537227928
TiaLinx Inc,,122659746
Tianjin Bailifu Industry Co. Ltd.,,
Tianjin Jingwei Huikai Optoelectronic Company Limited,天津经纬电材股份有限公司|Tianjin Jingwei Electric Wire Company Limited|Tianjin Jingwei Huikai Optoelectronic Company Limited|天津經緯輝開光電股份有限公司|天津經緯電材股份有限公司|天津经纬辉开光电股份有限公司,547820787
Tianjin Metallurgical Zhayi Iron & Steel Trading Co. Ltd.,,
Tianjin Rubber Industrial Corporation,,
Tianjin Zhongtie Meijian Construction And Installation Engineering Co. Ltd.,,
Tibet Rexin Small Loan Stock Co. Ltd.,,
Tibet Rhodiola Pharmaceutical Holding Co,西藏藥業|Xizang Rhodiola Pharmaceutical Co Ltd|Tibet Rhodiola Pharmaceutical Co. Ltd.|西藏諾迪康藥業|西藏药业|西藏诺迪康药业|西藏薬業|西藏諾迪康藥業股フェン有限公司,420718587
Timesavers Inc.,,
Timiskaming Child And Family Services,,
Tindall Riley Marine Ltd.,"TINDALL RILEY AND COMPANY|Tindall Riley and Co|Tindall, Riley & Co",227085107
Tindle Radio Ltd,103.4 The Beach|103.4 THE BEACH (RADIO STATION),222303609
Tioman Island Resort Bhd,,652185992
Tirumala Hatcheries Private Limited,,
Titan Capital Inc,,874439859
Titan Ladders,Titan Ladders,519904689
Titus Energy Corp.,Titus Capital Corp.,248264595
Titz & Weiss Gmbh Elektroinstallationen,,328502166
Tocamak,Tocamak Venture|Tocamak Finance,502128312
Tognana Porcellane SpA,,438701570
Tokyo Gas Co Ltd,東ガス|东京瓦斯株式会社|東京ガス株式会社|東京天然氣公司|東京Gas|东京天然气公司|東京煤氣公司|東京燃氣|Ohgishima Power Co|東京天然氣|东京煤气公司|东京Gas|東京瓦斯|東京瓦斯株式會社|东京燃气|TOKYO GAS CO LTD,690549977
Toliver Chrysler Dodge Jeep Ram Llc,,
Tomax Corp,,177301264
Tommy Hilfiger Corp,PJL Clothing India|HILFIGER USA|Pepe Jeans Europe BV|Tommy Hilfiger Handbags & Small Leather Goods Inc|Tommy Hilfiger North America|Lagerfeld Karl|HILFIGER TOMMY MEXICO|Tommy 10|Tommy Hilfiger USA Inc|Hilfiger|Karl Lagerfeld Llc|Tommy Hilfiger Toiletries|TOMMY HILFIGER CORP TICKER TOM|HILFIGER TOMMY USA|Hilfiger (Tommy) Corp.|Pepe Jeans London Corp|Pepe Jeans USA Inc|Tommy Hilfiger Europe|Tommy Hilfiger Europa|Tommy Hilfiger Group,248350290
Tonami Holdings Co. Ltd.,TONAMI TRANSPORTATION CO|トナミ運|トナミ運輸株式会社|TONAMI TRANSPORTATION CO LTD|Tonami Transportation Co. Ltd.|Tonami Holdings Company Limited|トナミ運輸|トナミホールディングス株式会社|トナミホールディングス,690565197
TongYang Kangnam Univ Dormitory Fund No. 1,,
Tongkah Harbour PCL,,
Tongling Xinyaxing Port Affairs Co. Ltd.,,
Tongxin County Lixiang Winery Co. Ltd.,,
Tongyu Heavy Industry Limited,Tongyu Heavy Industry Ltd|通裕重工（300185）|通裕重工股份有限公司,421798331
Topos Tovarniky as,,495027187
Torax Medical Inc,,137949538
Torc Telecom Ltd.,World Telecom Plc,989337274
Torchiani Srl,,428659692
Torex Retail Holdings Limited,Savista Corporation|Systech Retail Systems Inc.|Torex Retail Solutions (UK) Ltd|Retail Store Systems Inc|XN Checkout Holdings PLC|KPOS Computer Systems Ltd|Anker PLC|Sanderson RBS Limited|Torex Retail PLC,210018822
Toshiba Data Dynamics Pte Ltd,,595153115
Total Gas & Power North America Inc,,620059980
Tourism Enterprises Co,TOURISM ENTERPRISES CO|شركة المشروعات السياحية - شمس|Tourism Enterprise Co.,557744161
Tourneau Llc,,
Towellers Ltd,,645472721
Town & Country Financial Corp.,"West Plains Investors, Inc.|Premier Bank of Jacksonville|Town & Country Bancorp Inc|Town and Country Financial Corporation|Town & Country Bank",109292052
TownTalker Media AG,,314905043
Toyo Kanetsu KK,トヨカネツ|Toyo Kanetsu K.K.|TOYO KANETSU KK|トーヨーカネツ株式会社|トーヨーコーケン,690544234
Tozer Seeds Ltd,,236306341
Trade Company KAREL-IMPEKS OOO,,
Trading House ARDA OOO,,
Training Devices International Inc,TDI,926306606
Trallfa A/S,,518896626
Trancom Co Ltd,TRANCOM CO LTD|トランコム株式会社|トランコム,691671762
Trans-Care International Ltd,Trans Care International,227011301
TransCanada Pipelines Ltd,MAGNESIUM INTL OF CANADA|트랜스캐나다파이프라인|Novacorp|Oleoducto Central S.A.|트랜스캐나다파이프라인스|MAGNESIUM CO OF CANADA MAGCAN|OCENSA|TRANSCANADA PIPELINES LTD|Transcanada Pipeline Limited|ADVANCED FINE CHEMICAL|TRANSCANADA ENERGY|ENRON LOUISIANA ENERGY|TRANSCANADA PIPELINES|Transgas de Occidente S.A.|ALBERTA NATURAL GAS CO LTD|ALBERTA NATURAL GAS CO|Nova Corp.|TRANSCANADA PIPELINES TCPL|ENGERIA MAYAKAN|Novacorp International|Foothills Pipe Lines Ltd|ALBERTA NATURAL GAS|TRANSCANADA PIPELINE|TRANSCANADA GAS SERVICES|ANG PIPELINE,201772480
Transatel SA,,396109683
Transbank SA,Sociedad Interbancaria Administradora de Tarjetas de Credito SA,980426423
Transitions Optical Limited,,
Transportation Insight LLC,"TSG Inc|Birddog Solutions, Inc.|Meridian Logistics LLC|SwanLeap, Inc|Transaver Global Services Inc.|Spend Management Experts|CPA International Inc.",102735151
Transtourservice,,566044932
Traveller International Products Ltd,,398892521
"Travelodge Hotels, Inc.",Travelodge Hotels Inc.,130830990
Trek 2000 International Ltd,Cloud Stringers|特科國際|特科国际,894678957
Trend At Llc,,
Trendchip Technologies Corporation,诚致科技股份有限公司|誠致科技股份有限公司|Trendchip Technologies Corp.,658534151
Tresim Inversiones SICAV SA,,464108039
Tresnjica a.d. Pozega,Tresnjica ad,360257172
TriAusMin Limited,Tri Origin Minerals Ltd|TriAusMin Ltd,752865477
TriGem Computer Inc,TRIGEM COMPUTER|TRIGEM COMPUTERS|三宝コンピューター|TRIGEM COMPUTER INC,687749911
Trichome Financial Corp.,22 Capital Corp.|James E. Wagner Cultivation|Trichome JWC Acquisition Corp.,203578463
Trident Royalties PLC,Trident Resources PLC|Trident Exploration Corp.|Trident Resources Corporation|Wrangler West Energy Corp.,223853625
Trimax IT Infrastructure & Services Ltd,Trimax IT Infrastructure and Services,676190253
Triple Play Brasil Participações SA,,942299864
Tripple Gee & Company PLC,Tripple Gee and Company PLC,552430324
Tripti Industries Ltd,Tripti Industries,731530197
Triton Advisers (Sweden) Ab,,
Triton Partners (Holdco) Ltd,Befesa S.A.|Logstor A/S|AB Gustaf Kahr|battenfeld-cincinnati USA|Tyco Waterworks GmbH & Co. KG|Dywidag-Systems International Pty Limited|Battenfeld Extrusionstechnik GmbH|American Maplan Corporation|Befesa SA|battenfeld-cincinnati Germany GmbH|WernerCo|Imtech Nordic|Triton Partners|Triton Advisers (Nordic) AB|We Are Padel|DYWIDAG-Systems International USA Inc.|Triton Managers Ltd|Chevron Traffic Management|Bravida|Logstor Holding A/S|Triton Advisers (UK) Ltd.|Triton Beteiligungsberatung|Alimak Hek Group AB|Triton Advisers Ltd|Logstor Ror A/S|SKF Motion Technologies|Zarges Gmbh,233371967
Triyards Holdings Ltd,Triyards控股|Triyards控股有限公司|Triyards Holdings Ltd.,659220081
